"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Prefeitura Municipal de Fortaleza";"Base de Dados de Unidades Escolares e Alunos da Rede Municipal de Fortaleza";"Ano letivo; identificação da unidade escolar (nome, código INEP, tipo de escola) e situação de funcionamento; localização (endereço completo, coordenadas); caracterização da turma (turno, série, modalidade/etapa de ensino, ciclo/segmento, tipo, horário de início e término das aulas); dados anonimizados do estudante (código INEP, mês e ano de nascimento, raça/cor, gênero, nacionalidade, deficiência por tipo); matrícula (código, datas de início e fim, situação da matrícula).";"Matriculas na Rede Municipal. Etapa de Ensino. Modalidade.";"1";"0";"19";"0"
"Prefeitura Municipal de Fortaleza";"Bens Tombados";"Arquivo disponibilizado pela Secultfor dos bens tombados.";"bens,secultfor,tombamentos";"3";"0";"19";"0"
"Prefeitura Municipal de Fortaleza";"Bens Tombados - Poligonais de Entorno";"Delimitação das poligonais do entorno dos Bens Tombados.";"Cultura,Patrimônio";"1";"0";"3";"0"
"Prefeitura Municipal de Fortaleza";"Bilhetagem Abril 2014";"Este conjunto de dados contém as informações da bilhetagem das linhas de ônibus do município de Fortaleza - abril/2014.";"bilhetagem,bilhete único,transporte municipal";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Bilhetagem Fevereiro 2014";"Este conjunto de dados contém as informações da bilhetagem das linhas de ônibus do município de Fortaleza - fevereiro/2014.";"bilhetagem,bilhete único,transporte municipal";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Bilhetagem Janeiro 2014";"Este conjunto de dados contém as informações da bilhetagem das linhas de ônibus do município de Fortaleza - janeiro/2014.";"bilhetagem,bilhete único,transporte municipal";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Bilhetagem Junho 2014";"Este conjunto de dados contém as informações da bilhetagem das linhas de ônibus do município de Fortaleza - junho/2014.";"bilhetagem,bilhete único,transporte municipal";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Bilhetagem Maio 2014";"Este conjunto de dados contém as informações da bilhetagem das linhas de ônibus do município de Fortaleza - maio/2014.";"bilhetagem,bilhete único,transporte municipal";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Bilhetagem Março 2014";"Este conjunto de dados contém as informações da bilhetagem das linhas de ônibus do município de Fortaleza - março/2014.";"bilhetagem,bilhete único,transporte municipal";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Binários";"Arquivo com os projetos de binários executados em Fortaleza-CE no formato .geojson";"binários";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Bolsas Concedidas pelo CITILAB - 2023";"Bolsas concedidas pelo CITILAB em anos anteriores - informações de 2023.";"bolsas,citilab,educação";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"CNES - Cadastro Nacional de Estabelecimentos de Saúde";"Bancos de dados sobre os estabelecimentos de saúde do município de Fortaleza";"saúde";"3";"1";"127";"0"
"Prefeitura Municipal de Fortaleza";"Caminhos da Escola";"Trata-se de um conjunto de intervenções que visam promover a segurança no trânsito e o desenvolvimento infantil em áreas que se situam ao redor de instituições de ensino.";"caminhos da escola";"1";"0";"3";"0"
"Prefeitura Municipal de Fortaleza";"Capacitações GABPREF";"Cursos realizados pelos servidores do Gabinete do Prefeito.";"Gabinete,cursos,servidores,treinamentos";"2";"0";"3";"0"
"Prefeitura Municipal de Fortaleza";"Censo Escolar";"O Censo Escolar é o principal instrumento de coleta de informações da educação básica e a mais importante pesquisa estatística educacional brasileira. É coordenado pelo Inep e realizado em regime de colaboração entre as secretarias estaduais e municipais de educação e com a participação de todas as escolas públicas e privadas do país. Ele abrange as diferentes etapas e modalidades da educação básica e profissional: - Ensino regular (educação infantil, ensino fundamental e médio); - Educação especial – modalidade substitutiva; - Educação de Jovens e Adultos (EJA); - Educação profissional (cursos técnicos e cursos de formação inicial continuada ou qualificação profissional). A coleta de dados das escolas tem caráter declaratório e é dividida em duas etapas. A primeira etapa consiste no preenchimento da Matrícula Inicial, quando ocorre a coleta de informações sobre os estabelecimentos de ensino, gestores, turmas, alunos e profissionais escolares em sala de aula. A segunda etapa ocorre com o preenchimento de informações sobre a Situação do Aluno, e considera os dados sobre o movimento e rendimento escolar dos alunos, ao final do ano letivo.";"censo escolar,educação,educação básica,inep";"6";"1";"223";"1"
"Prefeitura Municipal de Fortaleza";"Censo Escolar 2015";"Sem Informação";"";"0";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Censo Escolar 2017 - Secretaria Municipal da Educação de Fortaleza";"INEP - Censo Escolar 2017 - SME: Educação Infantil, Ensino Fundamental e EJA Presencial.
";"censo escolar 2017,matrículas por escola,modalidade de ensino e seriação,nível";"1";"0";"41";"0"
"Prefeitura Municipal de Fortaleza";"Censo Escolar 2018 - Secretaria Municipal da Educação de Fortaleza";"INEP - Censo Escolar 2018 - SME: Educação Infantil, Ensino Fundamental e EJA Presencial.";"censo escolar 2018,matrículas por escola,modalidade de ensino e seriação,nível";"1";"0";"4";"0"
"Prefeitura Municipal de Fortaleza";"Censo Escolar 2019 - Secretaria Municipal da Educação de Fortaleza";"INEP - Censo Escolar 2019 - SME: Educação Infantil, Ensino Fundamental e EJA Presencial.";"censo escolar 2019,matrículas por escola,modalidade de ensino e seriação,nível";"1";"0";"5";"0"
"Prefeitura Municipal de Fortaleza";"Censo Escolar 2020 - Secretaria Municipal da Educação de Fortaleza";"INEP - Censo Escolar 2020 - SME: Educação Infantil, Ensino Fundamental e EJA Presencial.";"censo escolar 2020,matrículas por escola,modalidade de ensino e seriação,nível";"1";"0";"9";"0"
"Prefeitura Municipal de Fortaleza";"Censo Escolar 2021 - Secretaria Municipal da Educação de Fortaleza";"INEP - Censo Escolar 2021 - SME: Educação Infantil, Ensino Fundamental e EJA Presencial.";"censo escolar 2021,matrículas por escola,modalidade de ensino e seriação,nível";"1";"0";"20";"0"
"Prefeitura Municipal de Fortaleza";"Censo da Educação Superior";"O Censo da Educação Superior é uma coleta de dados realizada pelo Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira – INEP. A coleta dos dados tem como referência as diretrizes gerais previstas pelo Decreto nº 6.425 de 4 de abril de 2008. O CensoSup é respondido por todas as instituições de ensino superior, com informações sobre cursos de Graduação presencial e a distância, dados sobre Alunos e Docentes, além de outras informações específicas das Instituições de Ensino Superior (IES) como Recursos Humanos, dados Financeiros e de Bibliotecas.";"censo da educação superior,educação,inep";"5";"0";"64";"1"
"Prefeitura Municipal de Fortaleza";"Chamadas da Polícia";"Chamadas da Polícia";"polícia";"1";"0";"18";"0"
"Prefeitura Municipal de Fortaleza";"Cobertura da Saúde Bucal na Atenção Primária à Saúde";"O Indicador disponibiliza dados sobre a estimativa da população coberta pelas equipes de saúde bucal na Atenção Básica credenciada e cadastrada no Sistema de cadastro Nacional de Estabelecimentos de Saúde para fins da transferência dos incentivos de custeio.";"saúde";"1";"0";"23";"0"
"Prefeitura Municipal de Fortaleza";"Cobertura das Equipes Saúde da Família na Atenção Primária à Saúde";"O Indicador disponibiliza dados sobre a Atenção Primária à Saúde das equipes da Saúde da Família credenciadas e cadastradas no Sistema de Cadastro Nacional de Estabelecimentos de Saúde para fins da transferência dos incentivos de custeio federal.";"saúde";"3";"0";"38";"0"
"Prefeitura Municipal de Fortaleza";"Coleta Domiciliar";"Todos os setores da Coleta Domiciliar de Fortaleza em KMZ";"coleta,domiciliar,fortaleza,setores";"1";"0";"6";"0"
"Prefeitura Municipal de Fortaleza";"Coleta Domiciliar de Resíduos Sólidos de Fortaleza";"Relatório das avaliações da coleta domiciliar de resíduos sólidos no município de Fortaleza de 2022 a 2020.";"coleta domiciliar,lixo,resíduos sólidos";"3";"0";"10";"0"
"Prefeitura Municipal de Fortaleza";"Coleta Especial Urbana de Resíduos Sólidos de Fortaleza";"Demandas da coleta especial urbana (CEU) de resíduos sólidos no município de Fortaleza.";"CEU,especial urbana,lixo,resíduos sólidos";"7";"0";"72";"0"
"Prefeitura Municipal de Fortaleza";"Concursos e Seleções 2021";"Quantitativo de inscritos nos concursos e seleções realizados pelo IMPARH no ano de 2021.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Concursos e Seleções 2022";"Quantitativo de inscritos nos concursos e seleções realizados pelo IMPARH no ano de 2022.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Concursos e Seleções 2023";"Quantitativo de inscritos nos concursos e seleções realizados pelo IMPARH no ano de 2023.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Condomínios de Fortaleza";"Identifica e localiza os condomínios de Fortaleza, com base nas informações contidas no Cadastro de Condomínios adquiridas junto ao Observatório do Mercado de Fortaleza, que compõe o Cadastro Imobiliário Municipal (CIM). A camada mostra, além de seus nomes, algumas características referentes a cada condomínio de Fortaleza cadastrado, como: idade, quantidade de elevadores, padrão de acabamento, uso, tipo de condomínio e quantidade de unidades por andar.";"economia,governo";"1";"0";"14";"0"
"Prefeitura Municipal de Fortaleza";"Contrato de Gestão 001/2016 (Instituto de Saúde e Gestão Hospitalar - ISGH)";"Contrato de Gestão 001/2016 (Instituto de Saúde e Gestão Hospitalar - ISGH)";"saúde";"4";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Contrato de Gestão 001/2024 VIVA RIO";"Contrato de Gestão 001/2024 VIVA RIO";"saúde";"4";"0";"4";"0"
"Prefeitura Municipal de Fortaleza";"Contrato de Gestão 002/2016 (Fundação Leandro Bezerra de Menezes - FLBM)";"Contrato de Gestão 002/2016 (Fundação Leandro Bezerra de Menezes - FLBM)
";"saúde";"5";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Contrato de Gestão 002/2017 (Instituto de Saúde e Gestão Hospitalar - ISGH)";"Contrato de Gestão 002/2017 (Instituto de Saúde e Gestão Hospitalar - ISGH)";"saúde";"4";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Contrato de Gestão 002/2024 IDEAS";"Contrato de Gestão 002/2024 IDEAS";"saúde";"4";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Controle do Patrimônio Municipal (SIM) - 2015";"Este conjunto de dados contem documentação de controle do patrimônio municipal ( Sistema de Informações Municipais) - 2015 ";"economia,governo";"4";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cronograma de Reuniões do GTI";"Cronograma com as datas de reuniões a serem realizadas pelo do Grupo Técnico Intersetorial da Primeira Infância - GTI ";"Primeira Infância";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cultura Esporte e Lazer - Areninhas";"O projeto urbaniza e requalifica campos de futebol em bairros de alto índice de vulnerabilidade.  O objetivo é entregar à população equipamentos esportivos de qualidade, onde a comunidade possa, além de praticar atividade física, ter um espaço seguro de convivência, lazer e formação cidadã.";"";"1";"0";"6";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2021-1";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no primeiro semestre de 2021.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2021-2";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no segundo semestre de 2021.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2022-1";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no primeiro semestre de 2022.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2022-2";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no segundo semestre de 2022.";"";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2023-1";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no primeiro semestre de 2023";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2023-2";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no Segundo semestre de 2023";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2024-1";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no Primeiro semestre de 2024";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2024-2";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no Segundo semestre de 2024";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Extensão 2025-1";"Quantitativo de alunos matriculados nos cursos de extensão do IMPARH no Primeiro semestre de 2025";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Idiomas 2021-1";"Quantitativo de alunos matriculados nos cursos do Centro de Línguas do IMPARH no primeiro semestre de 2021.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Idiomas 2022-1";"Quantitativo de alunos matriculados nos cursos do Centro de Línguas do IMPARH no primeiro semestre de 2022.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Idiomas 2022-2";"Quantitativo de alunos matriculados nos cursos do Centro de Línguas do IMPARH no segundo semestre de 2022.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Idiomas 2023-1";"Quantitativo de alunos matriculados nos cursos do Centro de Línguas do IMPARH no primeiro semestre de 2023.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Idiomas 2023-2";"Quantitativo de alunos matriculados nos cursos do Centro de Línguas do IMPARH no segundo semestre de 2023";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Idiomas 2024-1";"Quantitativo de alunos matriculados nos cursos do Centro de Línguas do IMPARH no primeiro semestre de 2024";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos de Idiomas 2024-2";"Quantitativo de alunos matriculados nos cursos do Centro de Línguas do IMPARH no segundo semestre de 2024";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Cursos realizados pelos Servidores da Secretaria Municipal de Governo - SEGOV em 2022";"Cursos realizados em 2022 pelos Servidores da Secretaria Municipal de Governo - SEGOV";"cursos,servidores";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Cursos realizados pelos colaboradores da Secretaria Municipal de Governo - SEGOV em 2023";"Relação dos colaboradores que participaram de cursos realizados no ano de 2023.";"colaboradores,cursos";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Curvas de Nível de Fortaleza";"Isolinhas que representam as curvas de nível de Fortaleza com cota altimétrica variando em 1 metro, obtidas da nuvem de pontos gerada a partir da resposta do imageamento a laser do aerolevantamento.";"economia,governo";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"DADOS DO PROGRAMA REDE AQUARELA 2023 - 1º SEMESTRE";"Coleta de dados do programa rede aquarela do primeiro semestre de 2023.";"2023,atendimento,dados,rede aquarela";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Dados Demográficos de Fortaleza, por Bairro e Regional, até o ano de 2010";"Este conjunto de dados contém informações demográficas (população masculina, população feminina, média de moradores por domicílio, etc) para cada bairro e regional de Fortaleza até o ano de 2010.";"dados demográficos,população,população de fortaleza,sde";"1";"0";"7";"0"
"Prefeitura Municipal de Fortaleza";"Dados Demográficos por Bairro de Fortaleza";"Dados demográficos por Bairro";"economia,governo";"1";"0";"11";"0"
"Prefeitura Municipal de Fortaleza";"Dados Entrega Legal - 2º semestre";"Dados de atendimentos psicológicos e psicosociais do entrega legal.";"atendimentos,entrega legal,psicologicos";"1";"0";"8";"0"
"Prefeitura Municipal de Fortaleza";"Dados Epidemiológicos";"Conjunto de dados oriundos do Sistema de Informação sobre Nascidos Vivos (Sinasc) e do Sistema de Informação sobre Mortalidade (SIM), referentes às estatísticas vitais (nascidos vivos e óbitos) registradas (residentes/ocorridos) no município de Fortaleza/CE.";"saúde";"12";"0";"25";"0"
"Prefeitura Municipal de Fortaleza";"Dados Gerais Dos Eventos Públicos Nos Equipamentos De Grande Porte";"Relação com nome do equipamento, ano de construção, capacidade, endereços, ações/eventos e quantidade de público.";"capacidade,dados gerais,equipamentos,eventos,grande porte,públicos";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Dados IPM Saúde 2023";"Números referentes aos atendimentos do Programa IPM Saúde em 2023";"saúde,servidor";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Dados Ponte de Encontro Compilado 2023";"Dados do programa ponte de encontro do primeiro semestre de 2023.";"2023,atendimento,dados,ponte de encontro";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Dados Sim, Eu Existo Compilado 2023";"Dados referente ao primeiro semestre de 2023 do programa ""Sim, eu existo"".";"2023,atendimento,dados,eu existo,sim";"1";"0";"4";"0"
"Prefeitura Municipal de Fortaleza";"Dados abertos Sine Municipal";"Números de atendimentos realizados pelo Sine Municipal";"sine municipal";"2";"0";"4";"0"
"Prefeitura Municipal de Fortaleza";"Dados de Mobilidade de Ônibus-11/03/2015 (GPS, paradas, validação)";"O arquivo contem dados de mobilidade de ônibus do período 11/03/2015, contendo dados de GPS, paradas e validação.";"gps,mobilidade,mobilidade urbana,ônibus";"4";"0";"16";"0"
"Prefeitura Municipal de Fortaleza";"Dados do entrega legal - compilado 2023";"programa de entrega legal e controle de atendimentos";"atendimento.,dados,e-sic,entrega legal";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Dados e Ações da Coordenadoria da Juventude Ref. 2015";"Este conjunto de dados contém informações de localização das Praças de Juventude, CEUs, Cucas, Empreendimentos do Projeto Credjovem, Escolinhas de Surf do Projeto Juventude na Onda e Ações do Projeto Protagonismo Juvenil de 2015";"cucas,juventude,praças";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Demanda dos terminais de ônibus / linhas de ônibus";"Informações sobre as demanda de passageiros por data, linha e tipo de usuário.
";"Demanda de passageiros,Demanda por linha,Demanda por tipo de usuário,Mobilidade,Transporte público";"2";"0";"5";"0"
"Prefeitura Municipal de Fortaleza";"Demandas de Fiscalização Cadastradas no Sistema Fiscalize";"Conjunto de informações sobre demandas cadastradas no Sistema Fiscalize ";"Fiscalização";"3";"0";"4";"0"
"Prefeitura Municipal de Fortaleza";"Desconto para Áreas de Influência de Pontos de Transporte (Lei Nº 0333/2022)";"Pontos e raios que delimitam o Desconto para Áreas de Influência de Pontos de Transporte (Lei Nº 0333/2022) 
- BRT Aguanambi
- BRT Bezerra de Menezes
- Metrô Sul
- VLT Parangaba-Mucuripe";"desconto,influencia,transporte";"8";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Descritivo do Projeto Vem brincar, Fortaleza";"Descritivo contendo todas as informações a respeito do Projeto Vem brinca, Fortaleza!";"Primeira Infância";"1";"0";"3";"0"
"Prefeitura Municipal de Fortaleza";"Descritivo do projeto ""Rede Mundial Cidade das Crianças""";"Descritivo do projeto ""Rede Mundial Cidade das Crianças""";"Primeira Infância";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Desenvolvimento Humano, por Bairro de Fortaleza";"Este conjunto de dados contém indicadores de educação, longevidade e renda para cada bairro de Fortaleza. Esses três indicadores juntos formam o Indice de Desenvolvimento Humano de cada bairro de Fortaleza, sendo que, quanto mais próximo de 1 o seu resultado, melhor o desenvolvimento humano de um bairro.";"IDH,desenvolvimento humano,educação,longevidade,renda,Índice de Desenvolvimento Humano";"1";"0";"10";"0"
"Prefeitura Municipal de Fortaleza";"Distritos Fiscais de Fortaleza";"Divisão administrativa municipal de natureza fiscal, componente do Cadastro Imobiliário Municipal (CIM) de Fortaleza/CE com objetivo de viabilizar a realização e manutenção dos cadastros de tributos imobiliários.";"economia,governo";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Doação de mudas para pessoa física";"Neste relatório destaca o quantitativo, espécies de mudas doadas para pessoa física";"arborização,meio ambiente,plantas";"4";"0";"6";"0"
"Prefeitura Municipal de Fortaleza";"Documentação Comprobatória de Despesas - 2015";"Este conjunto de dados contem documentação comprobatória de despesas ( Sistema de Informações Municipais) - ref. 2015";"economia,governo";"13";"0";"3";"0"
"Prefeitura Municipal de Fortaleza";"Documentação Comprobatória de Receitas - 2015";"Este conjunto de dados contem documentação comprobatória de receitas ( Sistema de Informações Municipais) - ref. 2015";"economia,governo";"3";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Documentação de Controle SIM - 2015";"Este conjunto de dados contem documentação de controle ( Sistema de Informações Municipais) - ref. 2015";"economia,governo";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"EQUIPAMENTOS ESPORTIVOS - ARENINHAS";"Este conjunto de dados contém um relatório geral com todos os dados importantes sobre os Equipamentos Areninhas. ";"areninha,equipamento,esporte,futebol,projetos";"1";"0";"5";"0"
"Prefeitura Municipal de Fortaleza";"EQUIPAMENTOS ESPORTIVOS DE GRANDE PORTE";"Este conjunto de dados contém nome do equipamento, ano de construção, capacidade, endereço, horário de funcionamento e estrutura do equipamento. ";"equipamentos,esporte,estrutura,grande porte,lazer";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"ESTATÍSTICA DE ATENDIMENTO - ARENINHAS";"Este documento contém a quantidade de fluxo de público do equipamento areninha. ";"equipamento,esporte,estatistica,eventos,ginásio,projetos";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Edificações nos Municípios de Fortaleza";"Restituição das edificações existentes no ano de 2016 no município de Fortaleza obtidas a partir do levantamento aerofotogramétrico";"economia,governo";"1";"0";"7";"0"
"Prefeitura Municipal de Fortaleza";"Educação - Distritos de Educação";"Delimitação dos Distritos de Educação do município de Fortaleza.";"";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Educação - Parque Escolar Estadual";"Localização e outras informações a respeito das escolas implantadas e mantidas pelo Governo do Estado do Ceará, localizadas em Fortaleza.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Efetivo Ativo da Guarda Municipal de Fortaleza (GMF)";"Dados referentes ao efetivo ativo da Guarda Municipal de Fortaleza (GMF), contendo a quantidade de servidores por unidade de lotação e o endereço das respectivas unidades.";"Efetivo da GMF,Efetivo da Guarda Municipal de Fortaleza,Servidores da GMF,Servidores da Guarda Municipal de Fortaleza";"2";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Efetivo da Defesa Civil do Município de Fortaleza";"Efetivo da Defesa Civil do Município de Fortaleza";"Efetivo da Defesa Civil de Fortaleza,Efetivo de Proteção e Defesa Civil";"1";"0";"5";"0"
"Prefeitura Municipal de Fortaleza";"Empreendedores PES";"Número de atendimentos realizados pelo Programa Empreendedorismo Sustentável.";"economia,governo";"1";"0";"4";"0"
"Prefeitura Municipal de Fortaleza";"Empresas de Ônibus - 02/2015";"Este conjunto de dados contém informações das empresas de ônibus do município de Fortaleza em fevereiro de 2015.";"empresas,transporte público,ônibus";"1";"0";"4";"0"
"Prefeitura Municipal de Fortaleza";"Empresas de Ônibus de Fortaleza";"Este conjunto de dados contém informações das empresas de ônibus de Fortaleza.";"empresas,transporte público,ônibus";"1";"0";"3";"0"
"Prefeitura Municipal de Fortaleza";"Endereços Ecopontos";"Endereço de todos os Ecopontos de Fortaleza";"ecoponto,fortaleza";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Ensino Superior em Fortaleza";"Síntese do Ensino Superior de Fortaleza";"economia,governo";"1";"0";"10";"0"
"Prefeitura Municipal de Fortaleza";"Equipamentos Esportivos - Areninhas";"Neste relatório contém relatórios gerais com todos os dados importantes sobre os equipamentos areninhas .";"areninhas,equipamento,esporte,futebol,projetos";"1";"0";"14";"0"
"Prefeitura Municipal de Fortaleza";"Equipamentos Esportivos De grande porte";"Conjuntos de dados que contém nome do equipamento, ano,de construção, capacidade,endereço,horário de funcionamento, estrutura do equipamento.";"equipamento,esportivo,estrutura,grande porte,lazer";"1";"0";"3";"0"
"Prefeitura Municipal de Fortaleza";"Equipamentos da Rede administrativa e Assistencial da SMS";"Relação das Unidades Administrativas e Assistenciais: Postos de Saúde, Hospitais, UPA, Policlínicas, Bases do SAMU, Centro de Especialidades Odontológicas, CAPS, Box de Zoonoses, Centro de Controle de Zoonoses, Laboratório da Célula de Vigilância Sanitária, Residência Terapêutica, Unidade de Acolhimento, Secretaria Municipal da Saúde, Ultra Baixo Volume, Central Municipal de Abastecimento Farmacêutico, Central Municipal de Rede de Frio e Coordenadorias Regionais de Saúde (I, II, III, IV, V e VI).";"saúde";"3";"0";"13";"0"
"Prefeitura Municipal de Fortaleza";"Equipe Saúde da Família";"Dados sobre a Equipe Saúde da Família contendo as informações: Identificação da equipe (nome e código); unidade/posto de saúde base; endereço completo e coordenadas geográficas da unidade/posto.";"saúde";"2";"0";"8";"0"
"Prefeitura Municipal de Fortaleza";"Escola de Governo 2023";"Eventos realizados pela Escola de Governo do IMPARH em 2023.";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Escola de Governo 2024";"Eventos realizados pela Escola de Governo do IMPARH em 2024.";"";"1";"0";"0";"0"
